"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-01","8.95",",,W",,,"0.16",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"49",",,W","31",",,W",,,"  300",",,W","  310",",,W","23.0",",,W","38.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-02","10.74",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"33",",,W","21",",,W",,,"  300",",,W","  310",",,W","25.1",",,W","38.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-03","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"52",",,W","32",",,W",,,"  280",",,W","  250",",,W","15.0",",,W","23.0",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-04","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"45",",,W","27",",,W",,,"  300",",,W","  310",",,W","23.0",",,W","35.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-05","11.63",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"37",",,W","23",",,W",,,"  300",",,W","  300",",,W","21.0",",,W","35.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-06","8.72",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"34",",,W","29",",,W",,,"  290",",,W","  290",",,W","17.0",",,W","29.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-07","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"41",",,W","29",",,W",,,"  270",",,W","  270",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-08","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"43",",,W","26",",,W",,,"  250",",,W","  220",",,W","12.1",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-09","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"64",",,W","42",",,W",,,"  300",",,W","  240",",,W","15.0",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-03-10","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"54",",,W","41",",,W",,,"  140",",,W","  150",",,W","13.0",",,W","19.0",",,W",,,,,,,,,,,,,,
